,battery,weight,monitor_size,ram_capacity,SSD_capacity,cpu_core_num,cpu_thread_num,avg_bench,gamming,desktop,workstation,gpu_score,website_thinkpro,cpu_brand_Apple,laptop_brand_Asus,laptop_brand_Dell,laptop_brand_Lenovo,laptop_brand_Other,laptop_brand_Razer,price
0,0.6122448979591836,0.20630202140309156,0.42105263157894735,0.2,0.09996095275283093,0.2857142857142857,0.4545454545454545,0.6141078838174273,0.6145833333333333,0.648936170212766,0.5263157894736842,0.7837058399423216,1.0,0.0,0.0,0.0,1.0,0.0,0.0,23490000.0
1,0.4897959183673469,0.0784780023781213,0.42105263157894735,0.06666666666666667,0.09996095275283093,0.7142857142857142,0.6363636363636364,0.8008298755186721,0.8020833333333333,0.8191489361702128,0.719298245614035,0.9016844727010553,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19490000.0
2,0.7959183673469387,0.5243757431629013,0.7719298245614032,0.4666666666666667,0.19992190550566186,0.42857142857142855,0.6363636363636364,0.6286307053941909,0.625,0.648936170212766,0.5614035087719298,0.7837058399423216,1.0,0.0,0.0,0.0,1.0,0.0,0.0,79990000.0
3,0.8510204081632653,0.2592152199762188,0.9473684210526314,0.2,0.19992190550566186,0.7142857142857142,0.8181818181818182,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9016844727010553,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45990000.0
4,0.5561224489795917,0.0784780023781213,0.42105263157894735,0.2,0.09996095275283093,0.5428571428571427,0.5636363636363636,0.5904564315352697,0.5875,0.6319148936170214,0.5105263157894737,0.7308776299403554,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22990000.0
5,0.7551020408163265,0.0784780023781213,0.42105263157894735,0.4666666666666667,0.19992190550566186,0.5428571428571427,0.6727272727272727,0.7589211618257261,0.7583333333333333,0.774468085106383,0.6929824561403508,0.4133840204496297,0.0,0.0,1.0,0.0,0.0,0.0,0.0,53690000.0
6,0.7959183673469387,0.375743162901308,0.7017543859649118,0.06666666666666667,0.09996095275283093,0.5142857142857142,0.5272727272727272,0.6385892116182572,0.6354166666666666,0.6872340425531914,0.5543859649122806,0.3740578095300518,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25990000.0
7,0.6122448979591836,0.3103448275862069,0.42105263157894735,0.2,0.19992190550566186,0.42857142857142855,0.6363636363636364,0.6286307053941909,0.625,0.648936170212766,0.5614035087719298,0.7247165235629547,1.0,0.0,0.0,0.0,0.0,0.0,1.0,59990000.0
8,0.4693877551020408,0.375743162901308,0.7017543859649118,0.06666666666666667,0.09996095275283093,0.3428571428571428,0.49090909090909096,0.583609958506224,0.5812499999999999,0.6063829787234043,0.49473684210526314,0.3425968407943895,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17990000.0
9,0.510204081632653,0.2835909631391201,0.7017543859649118,0.2,0.09996095275283093,0.14285714285714285,0.2727272727272727,0.44917012448132776,0.44791666666666663,0.5212765957446809,0.3421052631578947,0.9016844727010553,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34990000.0
